Question,Answer
"Where was the PM2.5 level highest on 07-Dec, 15?",The highest PM2.5 level on 07-Dec-15 was in Hyderabad at 79.25.
"Which city had the highest NH3 level on 03-Feb, 19?",The highest NH3 level on 03-Feb-19 was in Jaipur at 21.17.
"Where was the SO2 level highest on 10-Feb, 15?",The highest SO2 level on 10-Feb-15 was in Mumbai at 7.36.
"Which city had the highest NO level on 18-Jan, 18?",The highest NO level on 18-Jan-18 was in Visakhapatnam at 22.29.
"Compare NO2 levels between Jaipur and Kolkata on 21-Oct, 16.",No data available for this date and city.
"Compare CO levels between Jaipur and Ernakulam on 31-Jan, 18.",No data available for this date and city.
"Compare NO2 levels between Kochi and Delhi on 18-May, 19.",No data available for this date and city.
"Compare NH3 levels between Ahmedabad and Talcher on 22-Nov, 15.",No data available for this date and city.
"Compare PM2.5 levels between Shillong and Kolkata on 23-Jul, 17.",No data available for this date and city.
"Where was the SO2 level highest on 14-Sep, 19?",The highest SO2 level on 14-Sep-19 was in Amritsar at 16.32.
"Which city had the highest NO level on 02-Sep, 18?",The highest NO level on 02-Sep-18 was in Delhi at 20.91.
"Where was the CO level highest on 14-Jul, 15?",The highest CO level on 14-Jul-15 was in Hyderabad at 0.73.
"Where was the CO level highest on 24-Mar, 18?",The highest CO level on 24-Mar-18 was in Chennai at 1.14.
"Delhi, SO2, 25-Apr, 19",No data available for this date and city.
"Where was the NO2 level highest on 05-Jun, 15?",The highest NO2 level on 05-Jun-15 was in Mumbai at 19.16.
"Which city had the highest NO level on 29-Jan, 20?",The highest NO level on 29-Jan-20 was in Kolkata at 16.0.
"Which city had the highest PM2.5 level on 07-Jan, 17?",The highest PM2.5 level on 07-Jan-17 was in Hyderabad at 63.83.
"Which city had the highest PM10 level on 02-Dec, 18?",The highest PM10 level on 02-Dec-18 was in Hyderabad at 145.82.
"Ahmedabad, NOx, 19-Jun, 20",The NOx level in Ahmedabad on 19-Jun-20 was 22.86.
"Compare NO2 levels between Coimbatore and Ernakulam on 30-Jul, 17.",No data available for this date and city.
"Jaipur, CO, 14-Dec, 17",The CO level in Jaipur on 14-Dec-17 was 0.71.
"Which city had the highest CO level on 27-Jun, 18?",The highest CO level on 27-Jun-18 was in Mumbai at 1.21.
"Where was the CO level highest on 17-Apr, 16?",The highest CO level on 17-Apr-16 was in Gurugram at 1.11.
"Guwahati, NOx, 09-Nov, 17",No data available for this date and city.
"Compare PM2.5 levels between Guwahati and Visakhapatnam on 19-Aug, 19.","On 19-Aug-19, PM2.5 level was 19.03 in Guwahati and 49.19 in Visakhapatnam."
"Where was the PM2.5 level highest on 16-Oct, 19?",The highest PM2.5 level on 16-Oct-19 was in Lucknow at 88.51.
"Compare PM10 levels between Visakhapatnam and Kolkata on 17-Mar, 19.",The PM10 level in Visakhapatnam on 17-Mar-19 was 105.79.
"Where was the PM2.5 level highest on 18-Oct, 16?",The highest PM2.5 level on 18-Oct-16 was in Chennai at 78.52.
"Compare NH3 levels between Lucknow and Ernakulam on 11-Feb, 16.",No data available for this date and city.
"Which city had the highest SO2 level on 04-May, 16?",The highest SO2 level on 04-May-16 was in Mumbai at 7.36.
"Which city had the highest SO2 level on 25-May, 15?",The highest SO2 level on 25-May-15 was in Hyderabad at 9.15.
"Amaravati, SO2, 25-Mar, 20",The SO2 level in Amaravati on 25-Mar-20 was 18.95.
"Which city had the highest NOx level on 25-Jul, 17?",The highest NOx level on 25-Jul-17 was in Lucknow at 17.79.
"Which city had the highest NH3 level on 04-Feb, 19?",The highest NH3 level on 04-Feb-19 was in Jaipur at 20.09.
"Brajrajnagar, SO2, 05-Nov, 16",No data available for this date and city.
"Which city had the highest PM2.5 level on 24-Sep, 15?",The highest PM2.5 level on 24-Sep-15 was in Lucknow at 48.54.
"Which city had the highest NO2 level on 06-May, 17?",The highest NO2 level on 06-May-17 was in Bengaluru at 37.46.
"Visakhapatnam, NH3, 02-Jan, 16",No data available for this date and city.
"Which city had the highest PM10 level on 08-May, 19?",The highest PM10 level on 08-May-19 was in Brajrajnagar at 192.46.
"Gurugram, SO2, 19-Aug, 18",The SO2 level in Gurugram on 19-Aug-18 was 6.39.
"Chandigarh, CO, 14-Aug, 17",No data available for this date and city.
"Jaipur, NO2, 09-Aug, 18",The NO2 level in Jaipur on 09-Aug-18 was 19.36.
"Where was the NH3 level highest on 31-Jan, 16?",The highest NH3 level on 31-Jan-16 was in Mumbai at 11.86.
"Compare NO levels between Talcher and Aizawl on 10-Jul, 19.",No data available for this date and city.
"Which city had the highest NO2 level on 30-Oct, 18?",The highest NO2 level on 30-Oct-18 was in Hyderabad at 47.35.
"Where was the NH3 level highest on 29-Aug, 18?",The highest NH3 level on 29-Aug-18 was in Delhi at 29.36.
"Compare PM10 levels between Hyderabad and Chennai on 05-Jan, 17.",No data available for this date and city.
"Which city had the highest PM10 level on 20-Dec, 15?",The highest PM10 level on 20-Dec-15 was in Hyderabad at 98.28.
"Which city had the highest CO level on 15-Nov, 16?",The highest CO level on 15-Nov-16 was in Visakhapatnam at 1.13.
"Chennai, SO2, 21-Nov, 19",No data available for this date and city.
"Which city had the highest NO level on 08-Apr, 17?",The highest NO level on 08-Apr-17 was in Visakhapatnam at 17.0.
"Bengaluru, PM10, 06-Jun, 16",The PM10 level in Bengaluru on 06-Jun-16 was 21.86.
"Compare SO2 levels between Ahmedabad and Delhi on 27-May, 20.","On 27-May-20, SO2 level was 7.36 in Ahmedabad and 14.49 in Delhi."
"Where was the NO level highest on 15-Dec, 19?",The highest NO level on 15-Dec-19 was in Lucknow at 12.97.
"Where was the NO level highest on 07-Apr, 20?",The highest NO level on 07-Apr-20 was in Hyderabad at 20.04.
"Where was the NO level highest on 30-Jul, 18?",The highest NO level on 30-Jul-18 was in Delhi at 15.98.
"Which city had the highest PM2.5 level on 06-Dec, 15?",The highest PM2.5 level on 06-Dec-15 was in Hyderabad at 61.38.
"Bengaluru, NH3, 27-Mar, 17",The NH3 level in Bengaluru on 27-Mar-17 was 22.04.
"Hyderabad, NO, 01-Aug, 19",The NO level in Hyderabad on 01-Aug-19 was 3.84.
"Where was the PM2.5 level highest on 05-Jul, 16?",The highest PM2.5 level on 05-Jul-16 was in Lucknow at 48.63.
"Compare CO levels between Delhi and Visakhapatnam on 18-May, 19.","On 18-May-19, CO level was 1.04 in Delhi and 0.96 in Visakhapatnam."
"Where was the CO level highest on 29-Aug, 16?",The highest CO level on 29-Aug-16 was in Lucknow at 1.55.
"Compare NOx levels between Chennai and Guwahati on 26-Jun, 18.",The NOx level in Chennai on 26-Jun-18 was 15.56.
"Which city had the highest NO2 level on 27-Apr, 17?",The highest NO2 level on 27-Apr-17 was in Bengaluru at 38.94.
"Which city had the highest PM2.5 level on 21-Apr, 15?",The highest PM2.5 level on 21-Apr-15 was in Hyderabad at 75.08.
"Which city had the highest CO level on 18-Oct, 16?",The highest CO level on 18-Oct-16 was in Visakhapatnam at 1.1.
"Bengaluru, NH3, 29-Dec, 18",The NH3 level in Bengaluru on 29-Dec-18 was 17.7.
"Where was the PM2.5 level highest on 03-May, 19?",The highest PM2.5 level on 03-May-19 was in Lucknow at 64.16.
"Chennai, PM10, 04-Feb, 18",No data available for this date and city.
"Which city had the highest NOx level on 17-Sep, 19?",The highest NOx level on 17-Sep-19 was in Delhi at 34.26.
"Compare PM2.5 levels between Mumbai and Ernakulam on 25-Aug, 15.",No data available for this date and city.
"Where was the PM10 level highest on 15-Apr, 17?",The highest PM10 level on 15-Apr-17 was in Hyderabad at 161.11.
"Compare CO levels between Chandigarh and Amritsar on 16-Dec, 16.",No data available for this date and city.
"Compare SO2 levels between Talcher and Bengaluru on 12-Aug, 17.",No data available for this date and city.
"Thiruvananthapuram, PM10, 19-Jan, 16",No data available for this date and city.
"Compare PM10 levels between Guwahati and Bhopal on 05-Jun, 16.",No data available for this date and city.
"Thiruvananthapuram, SO2, 14-Dec, 16",No data available for this date and city.
"Where was the NOx level highest on 21-Oct, 16?",The highest NOx level on 21-Oct-16 was in Chennai at 15.04.
"Compare NH3 levels between Thiruvananthapuram and Aizawl on 16-Mar, 15.",No data available for this date and city.
"Which city had the highest NO2 level on 01-Oct, 15?",The highest NO2 level on 01-Oct-15 was in Bengaluru at 30.71.
"Where was the NO2 level highest on 03-Mar, 17?",The highest NO2 level on 03-Mar-17 was in Visakhapatnam at 56.43.
"Where was the NO level highest on 26-Apr, 20?",The highest NO level on 26-Apr-20 was in Amritsar at 19.74.
"Where was the NO level highest on 24-Dec, 17?",The highest NO level on 24-Dec-17 was in Amritsar at 7.72.
"Mumbai, NO, 24-Feb, 20",No data available for this date and city.
"Where was the NOx level highest on 07-Apr, 18?",The highest NOx level on 07-Apr-18 was in Delhi at 50.39.
"Compare CO levels between Ernakulam and Kochi on 09-Feb, 19.",No data available for this date and city.
"Compare NO levels between Kolkata and Mumbai on 21-Mar, 19.",The NO level in Kolkata on 21-Mar-19 was 3.44.
"Where was the NH3 level highest on 15-Jun, 20?",The highest NH3 level on 15-Jun-20 was in Delhi at 35.38.
"Which city had the highest CO level on 23-Mar, 16?",The highest CO level on 23-Mar-16 was in Hyderabad at 1.68.
"Where was the PM2.5 level highest on 08-Mar, 19?",The highest PM2.5 level on 08-Mar-19 was in Hyderabad at 66.34.
"Gurugram, SO2, 30-Dec, 17",No data available for this date and city.
"Kochi, SO2, 13-Feb, 15",No data available for this date and city.
"Shillong, NOx, 17-Jul, 17",No data available for this date and city.
"Amaravati, PM2.5, 17-Aug, 17",No data available for this date and city.
"Where was the NO level highest on 24-Oct, 17?",The highest NO level on 24-Oct-17 was in Bengaluru at 15.76.
"Compare PM2.5 levels between Kochi and Amaravati on 16-Oct, 19.",No data available for this date and city.
"Compare PM10 levels between Amritsar and Gurugram on 13-Aug, 15.",No data available for this date and city.
"Where was the NOx level highest on 20-Feb, 16?",The highest NOx level on 20-Feb-16 was in Bengaluru at 22.89.
"Where was the PM10 level highest on 19-May, 20?",The highest PM10 level on 19-May-20 was in Gurugram at 146.61.
"Where was the PM2.5 level highest on 25-Jun, 16?",The highest PM2.5 level on 25-Jun-16 was in Patna at 57.6.
"Where was the NOx level highest on 10-Apr, 20?",The highest NOx level on 10-Apr-20 was in Visakhapatnam at 26.86.
"Where was the NO level highest on 31-Dec, 15?",The highest NO level on 31-Dec-15 was in Gurugram at 12.63.
"Where was the NO2 level highest on 01-Mar, 15?",The highest NO2 level on 01-Mar-15 was in Mumbai at 19.16.
"Where was the NOx level highest on 26-Nov, 18?",The highest NOx level on 26-Nov-18 was in Chennai at 35.11.
"Compare NOx levels between Ahmedabad and Chennai on 01-Dec, 15.",No data available for this date and city.
"Where was the NOx level highest on 18-Dec, 19?",The highest NOx level on 18-Dec-19 was in Kolkata at 47.0.
"Hyderabad, NH3, 03-Nov, 16",No data available for this date and city.
"Guwahati, NOx, 05-Sep, 15",No data available for this date and city.
"Which city had the highest PM2.5 level on 26-Apr, 20?",The highest PM2.5 level on 26-Apr-20 was in Lucknow at 45.35.
"Compare SO2 levels between Jorapokhar and Ernakulam on 27-Jun, 20.",No data available for this date and city.
"Amaravati, NO2, 21-Jul, 16",No data available for this date and city.
"Compare PM10 levels between Bengaluru and Chennai on 16-Oct, 16.","On 16-Oct-16, PM10 level was 155.04 in Bengaluru and 58.88 in Chennai."
"Which city had the highest NO level on 08-Jul, 18?",The highest NO level on 08-Jul-18 was in Bengaluru at 13.04.
"Which city had the highest NOx level on 12-Apr, 19?",The highest NOx level on 12-Apr-19 was in Bengaluru at 33.74.
"Where was the NO2 level highest on 10-Jan, 17?",The highest NO2 level on 10-Jan-17 was in Bengaluru at 37.38.
"Compare NO levels between Coimbatore and Patna on 29-Dec, 15.",No data available for this date and city.
"Which city had the highest NO2 level on 18-Feb, 15?",The highest NO2 level on 18-Feb-15 was in Hyderabad at 24.63.
"Shillong, NO2, 02-Jul, 16",No data available for this date and city.
"Which city had the highest NO2 level on 24-Sep, 16?",The highest NO2 level on 24-Sep-16 was in Visakhapatnam at 35.71.
"Where was the PM2.5 level highest on 24-Feb, 19?",The highest PM2.5 level on 24-Feb-19 was in Delhi at 89.34.
"Which city had the highest PM10 level on 11-Jan, 15?",The highest PM10 level on 11-Jan-15 was in Mumbai at 58.88.
"Compare SO2 levels between Amritsar and Ernakulam on 26-Sep, 16.",No data available for this date and city.
"Where was the NOx level highest on 19-May, 16?",The highest NOx level on 19-May-16 was in Patna at 29.93.
"Compare PM10 levels between Mumbai and Jaipur on 28-Oct, 15.",No data available for this date and city.
"Which city had the highest PM2.5 level on 16-Sep, 19?",The highest PM2.5 level on 16-Sep-19 was in Delhi at 56.6.
"Which city had the highest NOx level on 24-Jul, 15?",The highest NOx level on 24-Jul-15 was in Mumbai at 19.92.
"Compare PM10 levels between Aizawl and Delhi on 08-Mar, 17.",No data available for this date and city.
"Ernakulam, NOx, 15-Jul, 16",No data available for this date and city.
"Compare NOx levels between Visakhapatnam and Coimbatore on 29-Mar, 15.",No data available for this date and city.
"Which city had the highest NH3 level on 15-Dec, 19?",The highest NH3 level on 15-Dec-19 was in Jaipur at 27.72.
"Compare NO2 levels between Kochi and Shillong on 02-Apr, 19.",No data available for this date and city.
"Where was the PM10 level highest on 04-Mar, 16?",The highest PM10 level on 04-Mar-16 was in Bengaluru at 137.04.
"Which city had the highest NOx level on 23-May, 15?",The highest NOx level on 23-May-15 was in Mumbai at 23.46.
"Where was the PM10 level highest on 25-Jan, 20?",The highest PM10 level on 25-Jan-20 was in Hyderabad at 141.41.
"Compare NH3 levels between Ahmedabad and Kochi on 28-Sep, 17.",No data available for this date and city.
"Compare PM2.5 levels between Visakhapatnam and Coimbatore on 19-Nov, 16.",No data available for this date and city.
"Guwahati, SO2, 21-May, 18",No data available for this date and city.
"Compare SO2 levels between Bhopal and Delhi on 12-Mar, 19.",No data available for this date and city.
"Compare CO levels between Jorapokhar and Kolkata on 16-Jul, 17.",No data available for this date and city.
"Compare NOx levels between Bengaluru and Jorapokhar on 11-Nov, 15.",The NOx level in Bengaluru on 11-Nov-15 was 6.93.
"Compare NH3 levels between Gurugram and Thiruvananthapuram on 16-Jul, 15.",No data available for this date and city.
"Which city had the highest SO2 level on 19-May, 15?",The highest SO2 level on 19-May-15 was in Lucknow at 13.1.
"Compare NO2 levels between Hyderabad and Ernakulam on 10-Dec, 19.",The NO2 level in Hyderabad on 10-Dec-19 was 43.91.
"Where was the NH3 level highest on 14-Mar, 17?",The highest NH3 level on 14-Mar-17 was in Bengaluru at 34.32.
"Which city had the highest NO2 level on 08-Mar, 18?",The highest NO2 level on 08-Mar-18 was in Hyderabad at 49.93.
"Visakhapatnam, NH3, 06-May, 15",No data available for this date and city.
"Which city had the highest NOx level on 19-Feb, 15?",The highest NOx level on 19-Feb-15 was in Mumbai at 25.22.
"Which city had the highest CO level on 18-Dec, 15?",The highest CO level on 18-Dec-15 was in Hyderabad at 0.94.
"Where was the PM2.5 level highest on 05-Mar, 16?",The highest PM2.5 level on 05-Mar-16 was in Hyderabad at 65.76.
"Which city had the highest PM2.5 level on 13-Jul, 15?",The highest PM2.5 level on 13-Jul-15 was in Mumbai at 36.43.
"Where was the NOx level highest on 28-Mar, 16?",The highest NOx level on 28-Mar-16 was in Mumbai at 24.33.
"Which city had the highest NOx level on 28-Feb, 15?",The highest NOx level on 28-Feb-15 was in Mumbai at 25.4.
"Brajrajnagar, NO2, 25-Aug, 15",No data available for this date and city.
"Compare PM10 levels between Chandigarh and Patna on 15-May, 18.",No data available for this date and city.
"Chandigarh, NO, 31-May, 17",No data available for this date and city.
"Where was the NH3 level highest on 12-Mar, 18?",The highest NH3 level on 12-Mar-18 was in Chennai at 32.54.
"Which city had the highest NO level on 09-Jun, 15?",The highest NO level on 09-Jun-15 was in Hyderabad at 10.77.
"Compare NO2 levels between Gurugram and Ahmedabad on 11-Nov, 15.",No data available for this date and city.
